Pitcher,PitcherTeam,Overall_StuffPlus,Overall_WhiffPlus,Overall_CalledStrikePlus,Overall_wOBACONPlus,Overall_PitchingPlus,Overall_PitchingWhiffPlus,Overall_PitchingCalledStrikePlus,Overall_PitchingwOBACONPlus,Total_Pitches,Num_Pitch_Types,Avg_Velocity,Avg_Extension
Clay Hendry,NOF_OSP,107.7,108.7,102.0,105.0,106.2,108.4,105.0,103.0,250,6,84.0,5.1
Kobie Cushing,LEN_BEA,107.7,98.7,115.3,74.8,93.7,98.7,87.3,74.7,94,4,87.7,5.9
Ben Riley Flowers,SOU_GOL,107.7,102.6,103.6,98.9,99.4,100.8,103.2,115.9,34,3,88.2,6.2
Joseph Sabbath,RHO_RAM,107.7,105.8,103.5,88.0,108.6,106.1,107.2,96.5,503,6,85.3,6.0
Aric Berg,FOR_RAM,107.7,107.7,106.0,98.8,111.8,105.9,107.8,100.7,137,5,83.0,5.2
Peter Michael,LOU_CAR,107.7,104.9,114.9,81.5,103.3,103.8,108.4,87.3,912,6,84.5,5.1
Michael Gillen,CLE_TIG,107.6,102.6,108.6,91.9,124.0,109.7,123.1,98.6,36,5,86.5,5.9
Jaden Winter,ECU_PIR,107.6,107.3,100.4,107.7,100.0,98.0,102.6,108.9,157,5,85.6,5.4
Connor Maryniak,CHA_FOR,107.6,104.1,115.8,119.6,127.9,92.1,176.7,123.7,12,2,83.3,4.8
John Lyman,NIU_HUS,107.6,103.1,111.1,89.7,100.0,101.0,99.3,96.1,353,5,85.1,5.9
Kevin Figueredo,AVE_MAR,107.6,105.3,100.6,93.8,109.2,103.7,108.8,98.8,432,5,84.5,5.3
Jacob Fried,LOY_LIO,107.6,108.0,96.9,73.6,87.3,92.4,95.1,77.6,54,4,86.2,5.4
Jake Zenger,NEW_HAV,107.6,93.5,108.2,118.4,89.1,84.6,98.4,106.0,24,2,76.1,5.7
Ethan Marzo,MAR_RED,107.6,100.1,105.7,78.0,100.3,104.9,88.7,80.7,120,4,86.0,6.0
Isaiah Arteaga,WES_TEX,107.6,114.8,89.7,97.0,79.9,98.3,72.5,73.7,27,2,82.4,6.4
Avery Laine,LOY_LIO,107.6,113.2,93.9,94.7,113.9,116.1,98.7,99.6,865,8,84.2,6.5
Justin West,LOU_CAR,107.6,102.0,115.0,103.0,112.6,100.5,117.1,110.0,548,9,85.1,5.9
Joe Valentine,WRI_RAI,107.6,104.5,103.1,95.7,102.8,102.2,96.4,97.8,273,5,88.0,5.4
Tanner Sanderoff,HOF_PRI,107.6,103.0,105.6,93.8,103.7,99.6,110.6,93.0,496,8,85.6,5.1
Rijnaldo Euson,FRA_MAR1,107.6,108.8,91.6,95.9,111.0,115.4,95.6,94.9,249,5,84.7,6.1
Clayton Broeder,ANG_STA,107.6,115.2,84.3,110.5,113.6,115.1,104.8,115.5,36,4,84.4,5.9
Tyrelle Chadwick,ILL_RED,107.6,99.3,96.7,118.3,111.4,106.4,97.2,124.4,877,6,89.9,6.1
Kade Foulke,AUS_GOV,107.6,105.2,93.4,82.7,99.0,100.5,93.6,77.0,193,5,84.6,5.3
Trevor Stowe,WAS_COU,107.6,106.5,96.3,91.9,100.5,103.9,89.8,94.9,265,5,88.7,6.0
Alex Solis,HOU_COU,107.5,103.3,95.2,105.4,102.3,104.3,94.3,104.5,527,7,90.2,6.0
Andrew Cutler,GEO_COL,107.5,110.2,96.6,100.2,107.6,106.7,98.2,91.3,692,9,87.4,5.8
Ryan Free,ANG_STA,107.5,107.3,110.0,98.7,99.1,100.2,111.8,104.9,64,3,81.8,4.8
Luke Jackman,VIR_TEC,107.5,102.9,110.9,78.9,106.0,110.6,95.3,76.5,336,5,88.4,6.2
Zachary Yates,WES_COL,107.5,105.6,113.4,94.8,117.1,115.0,120.4,111.0,86,3,86.4,4.5
Dylan Howanitz,BOC_EAG,107.5,88.0,116.8,120.5,100.3,90.2,107.7,115.4,157,5,78.6,5.6
Trevor Hansen,CAL_ANT,107.5,112.3,86.7,93.0,105.7,113.3,93.4,100.6,553,9,85.7,5.3
Kyle Kesel,WRI_RAI,107.5,105.7,107.6,99.0,95.6,99.9,87.4,83.6,87,4,87.8,6.9
Jackson Holmes,MIS_BEA,107.5,108.4,100.2,93.8,105.0,108.4,96.0,95.1,657,9,87.7,5.1
Nic Schutte,MUR_RAC,107.5,102.5,109.9,108.0,112.0,101.0,121.4,107.8,398,7,82.8,5.8
Edward Hall,DAV_WIL,107.5,112.2,92.1,95.7,103.9,111.6,93.0,93.0,454,9,85.7,4.9
Jaron Bleeker,IOW_HAW,107.5,107.1,92.4,108.1,102.6,106.8,91.3,110.1,192,8,86.9,5.7
Dominic Cancellieri,CRE_BLU,107.5,105.3,97.7,87.4,111.0,107.4,104.0,90.7,692,7,85.1,5.8
Richard Long,JUD,107.5,105.8,101.2,88.7,113.5,108.9,106.9,97.9,293,7,84.2,5.1
William Pearson,IOW_HAW,107.5,94.6,116.5,107.6,106.4,86.0,140.0,112.9,36,3,86.3,5.5
James Hays,STE_HAT,107.5,106.0,99.3,89.2,113.0,110.2,105.7,96.3,296,6,88.4,5.8
Ryan Humphreys,WES_COL,107.5,103.4,96.4,94.0,109.2,106.9,96.2,83.6,276,5,86.6,5.3
Alec Sachais,VIL_WIL,107.5,110.5,94.7,100.5,105.3,105.2,103.4,93.8,887,8,84.8,5.7
Aydin Palmer,SOU_GAM,107.5,103.9,98.2,92.3,103.1,99.4,101.4,101.7,183,5,89.7,5.7
Henry Chabot,CHA_UNI,107.5,108.6,108.5,92.4,106.0,107.5,107.2,95.8,740,6,84.5,5.6
Dylan King,TRO_TRJ,107.5,100.0,103.8,87.6,108.1,95.2,119.4,89.6,112,5,89.7,6.0
Dakota Gray,DIX_STE,107.5,100.6,103.3,84.4,88.6,94.3,87.5,82.0,127,3,88.4,6.2
Braden Roesch,ILL_RED,107.5,98.1,133.5,98.0,111.9,101.7,120.5,93.8,261,5,78.6,6.0
Sam Young,RIC_SPI,107.5,99.0,102.9,90.6,86.2,88.0,89.0,83.6,145,3,87.2,5.7
Caleb Clark,NEB,107.5,104.9,94.7,111.4,112.1,108.4,105.0,116.4,289,6,85.7,5.4
Nick Bruno,NCA_BUL,107.5,109.5,99.3,96.3,89.7,95.2,95.4,102.3,119,8,84.1,5.5
Jake Tedesco,WAS_COU,107.5,105.6,100.5,101.7,100.6,99.5,100.5,89.2,380,6,87.4,6.0
Wyatt Danilowicz,LOU_CAR,107.4,105.3,101.4,102.0,106.3,107.8,95.1,90.5,454,8,84.8,6.3
Justin Spiegel,VIR_KEY,107.4,105.6,105.8,90.6,105.3,103.8,106.3,93.3,566,9,85.2,5.1
Garrett Hicks,ARI_WIL,107.4,109.8,96.9,94.2,108.9,112.4,98.6,92.1,621,7,85.9,5.9
Sebastian Schreiber,SAN_BRO,107.4,103.3,108.4,91.0,102.7,103.1,103.1,96.6,307,5,86.5,6.8
Troy Dressler,WAK_DEA,107.4,107.3,100.3,95.7,106.4,111.2,86.6,83.6,152,4,88.5,6.6
Logan Long,HOP_INT,107.4,96.7,110.3,95.2,94.5,94.0,93.9,81.5,30,3,77.5,5.7
Tanner Perry,ILL_RED,107.4,112.0,95.2,98.4,112.0,106.6,110.9,95.9,813,7,84.1,6.6
Andrew Cotten,ETS_BUC,107.4,103.7,103.0,91.9,110.9,106.5,114.8,103.1,386,7,82.8,5.8
Andrew Hart,NJI_HIG,107.4,103.7,88.1,86.4,112.2,107.5,112.4,78.4,15,3,85.1,5.8
Jackson Mitchell,BIN_BEA,107.4,99.0,115.6,84.4,96.5,97.6,99.6,85.5,292,6,87.3,5.5
Max Hansmann,EVA_ACE,107.4,112.5,85.3,101.1,112.8,116.1,96.5,103.9,752,8,86.7,6.1
Travis Lutz,BRA_BRA,107.4,107.1,94.7,101.8,103.5,104.5,95.8,95.7,560,9,86.1,6.0
Matthew Lorenzano,SOU_RED,107.4,103.6,108.9,84.0,106.2,105.0,100.3,94.4,115,7,86.4,6.2
Zane Adams,ALA_CRI,107.4,108.9,92.9,93.2,112.5,115.9,103.2,105.8,1176,7,86.6,5.6
Grant Edwards,NEW_PRI,107.4,101.8,106.8,105.9,108.9,104.0,105.3,110.4,918,8,88.7,5.9
Bennett Averett,UTS_EAG,107.4,104.2,103.4,79.5,70.0,90.9,79.9,97.6,9,3,84.0,6.2
Matt Porter,PIT_PAN,107.4,104.4,105.5,98.6,106.8,103.9,110.4,99.4,529,8,83.2,6.0
Quinn Berglin,RUT_SCA,107.4,99.0,104.0,104.9,97.3,96.9,101.4,108.5,746,5,80.0,5.6
Quinten McManmon,GEO_PAN,107.4,99.0,110.0,92.7,98.6,99.1,103.5,86.3,362,3,84.0,6.0
Kalen Gonzales,SOU_WES,107.4,103.3,101.2,99.8,49.6,90.6,39.4,69.8,8,4,86.9,6.2
Thomas Santana,COL_LION,107.4,109.9,103.7,85.1,110.2,110.4,105.1,87.9,1020,7,83.4,5.7
Matthew Becker,SOU_GAM,107.4,108.6,92.0,97.6,108.0,105.3,104.8,90.1,810,7,85.9,5.0
Eric Nachtsheim,MCN_COW,107.3,104.0,102.7,82.6,107.6,107.5,96.5,90.1,251,4,86.8,6.8
Evan Mello,WHE_C,107.3,103.7,127.2,95.6,115.4,121.2,89.6,113.5,23,2,78.4,6.5
MacCallan Conklin,ILL_RED,107.3,102.7,106.6,106.6,101.6,95.5,105.1,96.3,339,9,87.5,6.2
Tanner Gerdes,SIU_SAL,107.3,99.4,113.2,105.0,95.9,85.9,118.7,98.2,109,8,87.9,5.8
Gavin Marley,LEN_BEA,107.3,102.0,108.9,88.5,105.9,105.5,98.9,87.9,248,4,88.8,6.0
Ethan Hennessy,CAN_GRI,107.3,98.8,98.6,114.1,103.4,100.2,102.2,106.8,103,5,83.2,6.0
Anthony Alvarez,SAN_FRA3,107.3,108.4,101.9,86.7,106.4,107.2,112.3,100.5,30,3,88.1,5.2
Charlie Christensen,CEN_BEA,107.3,103.1,101.1,112.3,107.4,102.5,104.7,102.3,266,7,88.1,6.6
Will Goldberg,UCLA,107.3,112.8,87.6,100.3,104.6,118.9,79.1,89.7,18,3,82.2,6.5
Dominic Castellano,UCF_KNI,107.3,108.2,98.0,94.9,107.1,110.5,93.0,103.3,714,6,85.1,5.7
Derrick Smith,NOR_WOL,107.3,115.9,85.8,121.8,87.5,111.7,77.2,96.5,53,3,84.3,6.3
Thomas Crabtree,TEN_VOL,107.3,99.4,118.1,87.7,107.6,102.4,114.5,97.1,226,5,86.6,5.5
Jack Bell,MIS_COL1,107.3,104.9,109.6,100.1,101.6,115.9,85.5,107.2,44,3,83.7,6.3
Gavin Sansone,LON_ISL22,107.3,99.0,108.4,85.2,97.4,97.4,97.4,103.4,143,5,83.6,5.1
Jadon Dormer,ARC_UNI,107.3,85.9,114.9,105.0,122.4,99.4,126.2,126.4,14,4,75.8,5.9
Camden Watts,AND_TRO,107.3,99.4,110.9,69.3,97.1,98.2,91.7,73.7,99,3,86.2,6.1
Tucker Timmerman,NEB,107.3,103.5,93.4,109.8,112.6,108.6,101.5,117.8,419,4,86.3,6.1
Kevin Reed,EVA_ACE,107.3,104.8,105.1,93.2,110.8,106.0,112.7,95.5,853,7,83.0,4.9
Niccolas Gregson,CSD_TRI,107.2,105.7,100.9,88.5,107.0,103.6,109.4,94.1,403,7,86.3,6.2
Johnny Morales,SAC_DON,107.2,96.6,117.2,106.9,101.9,98.3,109.6,97.1,59,4,87.8,6.0
Charlie Jones,HIG_PAN,107.2,100.4,118.4,103.9,110.3,99.6,128.6,95.5,210,5,81.8,4.7
Jacob Sitton,UTM_SKY,107.2,105.3,100.0,85.2,104.9,100.5,110.3,93.3,158,4,87.3,6.3
Bryce Gluckman,STE_HAT,107.2,105.0,92.2,84.9,88.2,98.8,82.5,86.8,170,6,89.0,5.7
Andrew Harlow,LEN_BEA,107.2,112.0,84.2,93.4,111.9,112.5,98.4,101.2,484,8,86.8,6.1
Cristofer Cespedes,MAR_TER,107.2,109.3,101.4,105.1,108.6,111.9,103.6,108.8,484,7,86.3,5.6
Jake Lynch,LIP_BIS,107.2,109.9,93.3,120.6,110.3,110.1,96.6,111.6,508,6,85.8,5.5
Levi Abbott,CAN_GRI,107.2,104.5,114.4,116.6,106.5,95.8,122.0,95.7,136,5,83.0,5.3
Zach Peters,MIS_BAP,107.2,104.5,119.2,94.5,109.4,102.3,119.3,99.7,65,4,83.3,4.7
Pirmin Brechbuhl,NOR_CAT,107.2,99.2,111.7,72.5,76.0,91.0,58.6,76.2,17,1,84.2,7.1
Paul Jones,MAR_TER,107.2,99.0,105.7,82.4,80.4,82.9,100.3,101.0,29,2,86.5,5.8
Breyllin Suriel,IND_SYC,107.2,107.3,98.7,90.3,105.7,105.1,100.7,92.9,812,8,86.3,5.9
Evan Siary,MSU_BDG,107.2,108.0,102.5,93.2,118.3,117.6,111.8,102.5,746,7,84.8,5.8
Dylan Loy,TEN_VOL,107.2,106.9,108.7,107.6,111.3,110.2,112.8,107.3,409,4,81.4,5.8
Ethan Firoved,PIT_PAN,107.2,120.7,76.8,110.1,112.1,117.2,98.1,115.6,809,11,80.9,4.9
Morgan Codron,POR_PIL,107.2,113.2,86.7,103.3,115.2,105.3,110.5,95.6,88,4,85.9,6.3
Jack Kabel,QUI_BOB,107.2,97.9,115.2,93.3,96.6,97.2,97.0,86.6,177,7,84.7,5.7
Hayden Coon,BYU_COU,107.2,104.5,109.0,97.0,105.1,106.1,97.6,96.5,449,7,86.4,6.3
Lakin Polk,SOU_LIO,107.2,110.1,96.6,96.4,104.1,107.1,100.0,97.4,568,5,87.0,5.5
Tracen Cameron,FLO_PAN,107.2,109.5,93.9,88.0,108.0,105.3,105.5,89.8,597,6,86.5,5.7
Ritter Steinmann,KAN_WES,107.2,103.8,109.0,88.8,100.8,94.9,113.9,88.9,58,3,88.4,5.6
Dylan Story,HIG_PAN,107.2,110.0,94.0,104.8,108.6,106.0,102.1,103.2,1035,4,87.4,5.9
Nate Whysong,WAK_DEA,107.1,104.2,103.6,88.8,97.0,102.5,89.8,95.7,147,6,90.5,6.0
Tyler Boudreau,TEX_RAI,107.1,105.8,103.2,97.4,114.1,112.6,105.6,95.9,826,8,85.7,5.8
Harper McLendon,MUR_RAC,107.1,116.5,91.8,99.4,104.0,100.4,103.6,91.5,30,4,82.1,5.7
Zac Cowan,LSU_TIG,107.1,110.9,87.6,103.8,111.1,112.4,100.8,108.6,694,7,86.3,5.5
Ashton Crowther,SOU_GAM,107.1,104.8,95.6,120.5,109.7,103.7,101.3,116.4,529,6,87.6,5.2
Ira Austin,NEW_PRI,107.1,96.7,110.6,110.3,101.9,99.2,96.3,101.7,421,8,84.7,5.7
Craig Yanagihara,FRE_PAC,107.1,105.3,104.2,106.9,88.3,98.0,90.0,106.0,27,4,81.7,5.7
Colin Fisher,ARK_RAZ,107.0,101.3,115.1,112.2,104.8,106.3,109.0,109.7,327,4,85.7,5.3
Coleman Bobb,CSI_EAG,107.0,98.9,120.3,96.8,84.4,88.2,102.8,104.4,60,4,88.8,6.8
Jack Griffiths,BUT_BUL,107.0,104.9,103.0,81.8,104.9,108.3,91.6,80.7,302,6,86.5,6.1
Andrew Bowers,COA_CHA,107.0,109.3,98.1,104.7,103.2,102.2,106.0,106.6,57,3,84.9,5.9
Nolan Bernard,USF_BUL,107.0,107.7,91.9,108.7,99.4,103.2,97.8,101.8,281,8,86.6,5.6
Ryan Higgins,DUK_BLU,107.0,117.5,71.2,83.4,116.0,122.4,93.2,88.2,449,6,85.8,5.5
Andrew Elkhill,SAL_JAG,107.0,105.4,101.3,103.1,99.7,103.0,92.1,103.1,195,4,86.5,6.3
Hamilton Finefrock,CLA_CLA,107.0,97.9,104.1,92.4,97.9,95.2,102.1,83.7,108,2,75.0,5.1
Noah Thigpen,TRO_TRJ,107.0,108.0,91.1,84.4,109.6,109.7,99.3,98.2,591,7,89.9,6.0
Colton Book,STJ_HAW,107.0,107.5,106.2,89.0,113.6,116.3,93.3,95.7,353,4,85.8,7.1
Howell Polk,HIG_PAN,107.0,106.0,95.1,81.8,113.1,107.0,111.6,94.4,663,5,85.5,5.7
Brett Gastman,CHA_BUC,107.0,101.8,108.3,101.7,88.1,92.9,90.2,88.3,289,7,83.3,6.0
Jacob Gehring,YSU_PEN,107.0,111.9,90.4,94.2,108.6,113.0,94.1,104.9,374,4,86.5,6.2
Miles Corocan,CLE_CLE2,107.0,104.4,124.3,106.5,94.4,95.9,99.6,94.1,86,3,87.2,4.8
Bryce Brownlee,ARM_BLA,107.0,105.9,96.0,85.6,103.4,107.2,94.1,90.2,805,6,85.2,5.5
Justin Poris,NOR_AGG,107.0,104.7,105.8,92.2,97.3,98.5,100.8,77.6,30,3,88.2,5.6
Thomas Galusha,UCO_HUS,107.0,106.0,89.5,87.5,102.7,106.9,87.8,87.0,130,6,86.4,6.9
Trey Sanders,SAM_BUL,107.0,106.1,99.2,83.6,105.7,105.2,100.6,84.4,192,4,85.7,5.7
Adam Haight,ORE_BEA,107.0,110.0,86.2,83.3,101.2,99.0,114.8,87.0,55,3,88.3,5.6
Dylan Hawkes,DIX_STE,107.0,98.0,111.9,104.6,95.4,94.9,96.0,98.0,132,4,88.1,5.7
Blake Helmstetter,FAI_STA,107.0,106.1,101.0,101.8,98.6,103.8,90.7,94.1,181,7,82.4,5.4
CJ Williams,TAM_SPA,107.0,112.1,85.9,100.1,121.6,114.1,112.7,121.5,62,4,85.4,5.4
Darin Kuskie,USC_UPS,107.0,106.1,111.1,92.5,103.3,109.9,102.0,97.2,753,7,86.3,5.0
Keni Ishikawa,SEA_RED,107.0,107.8,99.0,97.9,105.3,104.7,103.4,92.8,688,7,83.9,6.1
Jonah Johnson,LOY_LIO,107.0,98.1,116.4,92.1,108.2,102.1,111.1,92.0,485,5,82.3,5.5
Cory Cook,WIL_CAR,107.0,103.0,100.3,94.0,98.7,97.6,91.9,89.2,286,4,88.4,6.2
Drake Fontenot,DEL_STA,107.0,102.9,112.8,112.1,109.0,112.6,108.0,117.8,103,3,83.4,5.1
Felix Ong,FLA_GAT,106.9,100.1,112.3,95.8,94.5,96.0,103.0,92.9,57,3,86.7,6.0
Lucas Hartman,WES_HIL,106.9,114.6,75.2,97.4,113.5,119.5,97.7,106.6,789,10,85.8,4.7
Jackson Yarberry,IU,106.9,108.8,92.9,103.6,110.2,114.5,95.8,107.7,325,6,87.5,6.1
Zach Kmatz,ORE_BEA,106.9,100.8,98.5,116.9,105.3,105.8,94.0,119.6,256,7,89.7,6.0
Demitri Diamant,UTA_UTE,106.9,109.5,96.5,93.5,106.0,106.9,105.0,99.5,195,7,85.3,5.6
Caleb White,GEO_PAN,106.9,98.3,117.6,100.7,107.1,103.5,106.0,102.2,852,5,84.6,6.2
Andrew Ramos,VCU_RAM,106.9,100.2,104.4,79.9,91.6,90.3,99.2,78.8,175,6,87.9,6.0
Micah Sweeton,CON_UNI2,106.9,108.9,95.1,94.7,103.5,113.7,76.0,83.3,57,3,86.8,6.2
Kyle Lewis,CHA_BUC,106.9,101.6,121.6,101.8,108.4,100.2,117.2,96.1,497,8,84.7,5.6
Colin Patterson,UNI_ALA,106.9,105.8,102.7,88.2,110.4,106.9,109.8,90.0,218,4,85.2,6.1
Van Froling,SAN_GAU,106.9,101.1,113.8,103.1,109.9,99.8,112.7,99.5,302,7,84.3,5.3
Erik Rodriguez,RIV_CIT,106.9,98.7,109.7,109.6,106.3,100.8,104.1,105.4,107,3,86.7,6.0
Aaron Arnold,WIC_SHO,106.9,105.0,104.0,90.4,111.6,107.9,109.3,97.7,551,7,88.9,6.4
Jake Fields,LON_DIR,106.9,109.5,93.4,85.6,104.1,114.3,84.0,87.5,452,5,86.2,6.2
Tyler Dean,NOR_GRE,106.9,102.0,112.8,105.9,114.6,105.6,110.7,94.0,51,4,84.7,5.7
Nathan Aceves,SAN_GAU,106.9,104.8,102.0,88.4,100.1,102.8,95.9,86.0,462,5,87.8,5.8
Adrian Najar,NAV_COL,106.9,103.9,111.5,99.2,108.3,107.2,103.5,105.6,29,3,85.0,6.8
Daniel McAuliff,PIT_PAN,106.9,112.4,87.7,103.2,108.9,112.5,96.6,107.8,361,5,84.9,5.9
Michael Hilker,ARI_WIL,106.9,103.9,109.1,88.6,109.9,105.5,107.0,96.7,336,5,85.5,6.0
Jack Berg,ARI_WIL,106.9,103.3,98.9,100.7,104.9,110.0,96.9,119.2,74,5,86.7,4.9
Tony Neubeck,MIZ_TIG,106.8,104.0,100.6,99.6,107.6,108.5,94.2,87.8,424,6,84.5,6.1
Brenden Kline,BRO_BEA,106.8,89.1,113.4,119.9,100.9,93.6,104.9,116.2,216,6,80.6,5.9
Matthew Martinez,ARI_WIL,106.8,121.3,82.8,85.2,113.7,126.5,102.5,96.0,356,5,77.8,4.5
Brandon Scheurer,CIN_BEA,106.8,101.8,108.4,89.0,105.2,102.0,108.4,97.2,510,8,86.9,6.2
Griffin Miller,MAR_THU,106.8,103.4,108.5,121.6,106.7,97.2,115.1,108.5,1155,7,83.8,5.1
Ryan Lynch,COA_CHA,106.8,104.9,128.2,77.2,115.4,109.8,127.0,90.1,385,6,82.9,5.7
Asher Hamilton,SOU_ARK2,106.8,95.5,116.1,101.9,114.9,104.7,115.6,105.2,59,2,82.4,5.2
Sullivan Brackin,SAN_JAC,106.8,101.5,99.9,110.8,97.0,94.2,96.8,101.6,172,3,91.1,6.7
Dylan Oborne,FAU_OWL,106.8,115.8,90.6,81.3,73.5,89.8,84.1,64.6,9,3,86.1,5.7
Andrew Horn,MTSU_BLU,106.8,100.4,113.2,90.6,104.7,103.9,106.3,93.5,816,6,86.4,5.5
Ethan Stevens,ASH_UNI,106.8,103.7,93.8,87.5,88.1,95.2,95.6,106.3,35,4,89.6,5.7
Brendan Beaver,ASH_UNI,106.8,109.7,94.8,105.8,114.9,121.6,93.0,119.1,240,3,81.2,5.7
Scott Rouse,KEN_WIL,106.8,112.2,78.8,109.9,110.7,115.4,88.3,116.2,669,7,86.4,5.9
Bobby Chicoine,BOC_EAG,106.8,92.8,122.0,112.6,103.8,95.5,101.4,105.8,218,5,87.9,5.7
Kaden Humphrey,NOF_OSP,106.8,109.8,100.2,88.1,105.6,109.9,101.9,98.2,158,7,85.1,5.0
Kade Bing,TEX_LON,106.8,104.4,99.8,94.6,109.1,107.2,101.8,101.6,529,6,84.1,5.9
Nic Peterson,SAN_GAU,106.8,103.7,101.8,106.7,107.1,104.8,102.6,107.2,243,6,86.0,5.4
Brooks Roberson,LOU_BUL,106.8,116.6,83.3,109.6,112.4,117.8,99.4,112.4,910,8,83.3,5.7
Nate Phillips,SWI_BSM,106.8,106.9,116.0,100.2,107.8,114.7,102.3,106.2,55,3,82.3,5.8
Max Meyer,EMB_EAG,106.8,107.2,96.7,79.5,92.6,93.0,89.3,86.4,15,3,85.5,5.5
Zachary Stevens,SAL_JAG,106.7,106.9,93.1,91.8,104.9,106.1,95.4,96.9,544,8,86.8,5.7
Landon Elliott,PAL_COM,106.7,101.7,104.7,82.1,99.5,100.5,102.9,97.3,22,3,88.7,5.5
Blake Van Cleve,LIT_TRO,106.7,102.2,101.5,93.7,104.0,101.1,102.0,88.7,296,6,83.3,6.3
Patrick Collopy,TEM_LEO,106.7,101.0,113.3,110.8,109.5,106.2,93.7,107.7,79,3,87.2,6.5
Jesse Komoroski,MID_UNI,106.7,94.6,106.6,124.8,119.4,90.3,127.1,130.9,13,3,89.7,6.0
Caleb Jameson,BAY_BEA,106.7,107.1,95.2,99.0,116.1,109.2,114.3,105.9,430,6,87.3,5.7
Chris Olivier,LAM_CAR,106.7,107.5,104.6,98.1,109.7,107.1,114.7,100.5,646,8,82.3,5.4
Jake Cullen,RHO_RAM,106.7,107.6,92.1,87.0,107.4,106.9,97.3,88.5,767,9,87.4,5.6
Jackson Reeves,SWI_BSM,106.7,107.7,101.5,109.4,94.0,85.7,119.4,105.5,26,3,81.8,6.3
Austin Turkington,CAL_BEA,106.7,110.1,91.8,91.2,110.4,110.6,101.9,96.1,925,9,86.1,5.8
Connor Kane,UNC_SEA,106.7,111.8,95.0,103.3,98.5,101.7,99.5,93.3,115,6,85.8,5.9
Hunter Teplanszky,BAY_BEA,106.7,103.0,97.9,91.8,107.4,111.5,86.7,98.9,51,4,89.0,6.3
Griffin Naess,CAL_MUS,106.7,109.6,100.4,94.3,108.0,110.6,102.6,94.4,1118,7,82.1,5.8
Nick Dugan,STA_CAR,106.7,110.1,95.6,99.8,105.5,112.8,95.7,100.5,804,8,84.9,6.4
William Spang,CLE_CLE2,106.7,107.6,107.9,109.3,97.0,99.9,100.8,98.5,207,4,84.6,4.7
Kellan Klosterman,NOT_IRI,106.7,108.7,96.1,94.3,110.1,109.8,103.0,95.3,465,6,86.2,6.4
Curtis Hebert,POR_PIL,106.7,110.7,90.9,92.7,99.7,106.8,91.5,91.3,269,5,86.0,5.8
Luke Lirette,SOU_LIO,106.7,101.0,104.4,87.9,105.3,103.4,98.5,89.2,401,5,85.6,5.8
Zach Morris,RHO_RAM,106.7,117.3,81.1,97.3,99.3,99.6,100.1,97.0,324,6,84.1,5.2
Yoansell Diaz,BET_WIL,106.7,111.2,95.3,106.8,106.3,110.8,99.6,110.4,11,3,84.8,5.9
Joe Morrissey,MIL_UNI2,106.7,108.3,94.4,88.9,109.6,110.3,98.3,100.7,401,6,83.3,5.9
Matthew Donnison,ILL_RED,106.7,102.0,110.8,101.9,107.5,99.5,113.4,98.0,585,5,84.4,6.2
Tyler Schott,DAL_PAT,106.7,106.0,103.5,98.6,104.3,106.1,101.6,104.4,274,9,83.9,5.1
Aaron Massie,NOK_NOR,106.7,116.3,87.4,100.7,94.7,102.2,92.8,95.6,241,6,83.0,5.4
LJ Mercurius,UNL_REB,106.7,106.3,99.8,93.2,105.5,107.6,98.6,95.7,574,7,87.6,6.2
Luke Lyon,TRO_TRJ,106.7,110.6,94.2,104.0,113.1,119.5,98.6,107.1,537,6,86.7,5.5
Davis Smith,GEO_EAG,106.7,103.6,93.5,88.8,107.7,103.5,105.8,90.1,619,8,92.7,5.1
Ryan Peterson,SAM_BEA,106.7,107.9,99.7,98.1,115.4,110.4,109.2,101.4,537,6,87.8,6.6
Connar Penrod,BGS_FAL,106.7,101.0,103.0,81.9,103.5,101.2,101.8,83.3,162,6,86.5,5.8
Blake Lobell,SOU_LIO,106.7,109.9,78.7,108.8,113.8,111.1,97.2,108.7,773,6,88.1,5.9
Shawn Scott,AUS_GOV,106.6,103.0,117.9,90.7,86.1,100.4,82.7,63.7,6,3,77.7,5.4
Carson Kimball,NEW_PRI,106.6,106.7,95.7,100.9,97.3,103.1,92.1,91.3,369,6,87.2,5.6
Garrett Ferguson,MIS_BEA,106.6,97.1,117.0,79.6,99.9,101.8,90.7,81.6,363,6,87.0,5.9
Nate Campbell,UNI_TEX,106.6,107.1,96.3,100.8,96.5,106.7,95.5,99.2,54,4,86.0,5.5
Dante Zamudio,CAL_MAT,106.6,102.2,106.3,90.3,103.6,98.8,110.0,97.3,288,6,88.6,5.5
Bradyn Shaw,AKR_ZIP,106.6,84.7,120.1,123.8,127.9,93.9,152.2,126.7,1,1,85.0,5.9
Rylan Haider,WAS_COU,106.6,91.1,104.9,115.6,95.2,91.7,94.3,113.3,237,6,82.4,6.2
Zach Willingham,SAL_JAG,106.6,106.4,95.5,102.1,108.2,105.8,101.0,101.5,1146,9,84.9,5.9
Joseph Trombley,SAC_PIO,106.6,111.8,88.0,99.9,98.6,114.5,84.9,108.7,182,4,85.9,5.9
Timothy Hartman,DEL_BLU,106.6,105.6,95.8,86.7,99.8,102.1,92.7,88.1,427,6,85.3,5.5
Matthew Moreno,LOY_LIO,106.6,103.0,104.3,99.0,103.5,98.7,102.4,97.1,53,4,87.1,6.4
